불량일자,라인,제품코드,제품명,불량유형,불량수량,불량중량_kg,원인,조치사항,처리구분,검사자,LOT번호,비고
2026-01-22,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,필링 부족,필링 투입량 재설정,재작업,최검사,L260122-20,
2026-01-23,DUBAI,DCK-C,두바이코코아,성형불량,7,0.7,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,최검사,L260123-01,
2026-01-23,DUBAI,DCK-C,두바이코코아,외관불량,5,0.5,표면 크랙,냉각 속도 조정,폐기,이검사,L260123-02,
2026-01-23,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 온도 부적절,필링 보온 온도 재설정,등급변경,김품질,L260123-03,
2026-01-23,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,필링 부족,필링 투입량 재설정,등급변경,박검사,L260123-04,
2026-01-23,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,폐기,이검사,L260123-05,
2026-01-23,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,폐기,최검사,L260123-06,
2026-01-23,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,김품질,L260123-07,
2026-01-23,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,폐기,최검사,L260123-08,
2026-01-23,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,폐기,박검사,L260123-09,
2026-01-23,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,재작업,이검사,L260123-10,
2026-01-23,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,최검사,L260123-11,
2026-01-23,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,라벨 위치 오류,라벨러 재정렬,등급변경,김품질,L260123-12,
2026-01-23,ITALY,ICK-D,이태리다크,성형불량,3,0.3,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,폐기,최검사,L260123-13,
2026-01-23,ITALY,ICK-D,이태리다크,외관불량,2,0.2,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,폐기,이검사,L260123-14,
2026-01-23,ITALY,ICK-D,이태리다크,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,폐기,김품질,L260123-15,
2026-01-23,ITALY,ICK-D,이태리다크,중량미달,1,0.1,필링 부족,필링 투입량 재설정,폐기,박검사,L260123-16,
2026-01-23,ITALY,ICK-O,이태리오리지널,성형불량,4,0.4,반죽 경화 (작업 지연으로 식음),반죽 재제조 (온도 관리 강화),폐기,이검사,L260123-17,
2026-01-23,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,재작업,박검사,L260123-18,
2026-01-23,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 계량 오차,계량기 재보정,재작업,최검사,L260123-19,
2026-01-23,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,재작업,박검사,L260123-20,
2026-01-24,DUBAI,DCK-C,두바이코코아,성형불량,7,0.8,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,최검사,L260124-01,
2026-01-24,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,등급변경,이검사,L260124-02,
2026-01-24,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 온도 부적절,필링 보온 온도 재설정,폐기,최검사,L260124-03,
2026-01-24,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,반죽 분할 오차,분할기 재보정,등급변경,박검사,L260124-04,
2026-01-24,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,이검사,L260124-05,
2026-01-24,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,최검사,L260124-06,
2026-01-24,DUBAI,DCK-M,두바이말차,성형불량,5,0.6,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,김품질,L260124-07,
2026-01-24,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,폐기,최검사,L260124-08,
2026-01-24,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,재작업,김품질,L260124-09,
2026-01-24,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,폐기,이검사,L260124-10,
2026-01-24,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,최검사,L260124-11,
2026-01-24,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,폐기,김품질,L260124-12,
2026-01-24,ITALY,ICK-D,이태리다크,성형불량,3,0.3,반죽 경화 (작업 지연으로 식음),반죽 재제조 (온도 관리 강화),폐기,박검사,L260124-13,
2026-01-24,ITALY,ICK-D,이태리다크,외관불량,1,0.1,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,폐기,김품질,L260124-14,
2026-01-24,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,재작업,이검사,L260124-15,
2026-01-24,ITALY,ICK-O,이태리오리지널,성형불량,5,0.6,반죽 경화 (작업 지연으로 식음),반죽 재제조 (온도 관리 강화),등급변경,김품질,L260124-16,
2026-01-24,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,표면 크랙,냉각 속도 조정,폐기,최검사,L260124-17,
2026-01-24,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,박검사,L260124-18,
2026-01-24,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,최검사,L260124-19,
2026-01-27,DUBAI,DCK-C,두바이코코아,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,재작업,이검사,L260127-01,
2026-01-27,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,등급변경,박검사,L260127-02,
2026-01-27,DUBAI,DCK-C,두바이코코아,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,폐기,최검사,L260127-03,
2026-01-27,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,필링 부족,필링 투입량 재설정,등급변경,김품질,L260127-04,
2026-01-27,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,재작업,박검사,L260127-05,
2026-01-27,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,이검사,L260127-06,
2026-01-27,DUBAI,DCK-M,두바이말차,성형불량,4,0.4,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,이검사,L260127-07,
2026-01-27,DUBAI,DCK-M,두바이말차,외관불량,3,0.3,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,박검사,L260127-08,
2026-01-27,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,등급변경,최검사,L260127-09,
2026-01-27,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,등급변경,김품질,L260127-10,
2026-01-27,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,박검사,L260127-11,
2026-01-27,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,이검사,L260127-12,
2026-01-27,ITALY,ICK-D,이태리다크,성형불량,4,0.4,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,김품질,L260127-13,
2026-01-27,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,폐기,최검사,L260127-14,
2026-01-27,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 계량 오차,계량기 재보정,등급변경,박검사,L260127-15,
2026-01-27,ITALY,ICK-D,이태리다크,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,폐기,최검사,L260127-16,
2026-01-27,ITALY,ICK-O,이태리오리지널,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,김품질,L260127-17,
2026-01-27,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,재작업,이검사,L260127-18,
2026-01-27,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,등급변경,김품질,L260127-19,
2026-01-27,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,필링 부족,필링 투입량 재설정,재작업,이검사,L260127-20,
2026-01-28,DUBAI,DCK-C,두바이코코아,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,박검사,L260128-01,
2026-01-28,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,재작업,김품질,L260128-02,
2026-01-28,DUBAI,DCK-C,두바이코코아,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,박검사,L260128-03,
2026-01-28,DUBAI,DCK-C,두바이코코아,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,재작업,최검사,L260128-04,
2026-01-28,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,재작업,김품질,L260128-05,
2026-01-28,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,라벨 위치 오류,라벨러 재정렬,등급변경,박검사,L260128-06,
2026-01-28,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,성형 틀 마모,성형 틀 교체,폐기,박검사,L260128-07,
2026-01-28,DUBAI,DCK-M,두바이말차,외관불량,2,0.2,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,김품질,L260128-08,
2026-01-28,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,폐기,이검사,L260128-09,
2026-01-28,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,최검사,L260128-10,
2026-01-28,ITALY,ICK-D,이태리다크,성형불량,3,0.3,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,폐기,최검사,L260128-11,
2026-01-28,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,이검사,L260128-12,
2026-01-28,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,폐기,김품질,L260128-13,
2026-01-28,ITALY,ICK-D,이태리다크,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,폐기,박검사,L260128-14,
2026-01-28,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,김품질,L260128-15,
2026-01-28,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,폐기,최검사,L260128-16,
2026-01-28,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,등급변경,박검사,L260128-17,
2026-01-28,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,폐기,이검사,L260128-18,
2026-01-29,DUBAI,DCK-C,두바이코코아,성형불량,7,0.8,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,최검사,L260129-01,
2026-01-29,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,이검사,L260129-02,
2026-01-29,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 온도 부적절,필링 보온 온도 재설정,재작업,김품질,L260129-03,
2026-01-29,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,카다이프 투입량 부족,원료 계량 강화,등급변경,이검사,L260129-04,
2026-01-29,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,재작업,최검사,L260129-05,
2026-01-29,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,최검사,L260129-06,
2026-01-29,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,김품질,L260129-07,
2026-01-29,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,등급변경,최검사,L260129-08,
2026-01-29,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,박검사,L260129-09,
2026-01-29,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,이검사,L260129-10,
2026-01-29,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,폐기,최검사,L260129-11,
2026-01-29,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,김품질,L260129-12,
2026-01-29,ITALY,ICK-D,이태리다크,성형불량,3,0.3,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,재작업,이검사,L260129-13,
2026-01-29,ITALY,ICK-D,이태리다크,외관불량,2,0.2,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,재작업,김품질,L260129-14,
2026-01-29,ITALY,ICK-D,이태리다크,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,이검사,L260129-15,
2026-01-29,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,폐기,김품질,L260129-16,
2026-01-29,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,성형 틀 마모,성형 틀 교체,등급변경,최검사,L260129-17,
2026-01-29,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,재작업,이검사,L260129-18,
2026-01-29,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,필링 계량 오차,계량기 재보정,폐기,김품질,L260129-19,
2026-01-29,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,폐기,박검사,L260129-20,
2026-01-29,ITALY,ICK-O,이태리오리지널,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,이검사,L260129-21,
2026-01-29,ITALY,ICK-O,이태리오리지널,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,재작업,최검사,L260129-22,
2026-01-30,DUBAI,DCK-C,두바이코코아,성형불량,10,1.0,성형 틀 마모,성형 틀 교체,폐기,이검사,L260130-01,
2026-01-30,DUBAI,DCK-C,두바이코코아,외관불량,6,0.6,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,등급변경,박검사,L260130-02,
2026-01-30,DUBAI,DCK-C,두바이코코아,필링불량,4,0.4,필링 계량 오차,계량기 재보정,재작업,이검사,L260130-03,
2026-01-30,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,필링 부족,필링 투입량 재설정,재작업,김품질,L260130-04,
2026-01-30,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,박검사,L260130-05,
2026-01-30,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,이검사,L260130-06,
2026-01-30,DUBAI,DCK-M,두바이말차,성형불량,5,0.6,성형 틀 마모,성형 틀 교체,등급변경,김품질,L260130-07,
2026-01-30,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,재작업,최검사,L260130-08,
2026-01-30,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,폐기,김품질,L260130-09,
2026-01-30,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,등급변경,이검사,L260130-10,
2026-01-30,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,등급변경,최검사,L260130-11,
2026-01-30,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,김품질,L260130-12,
2026-01-30,ITALY,ICK-D,이태리다크,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,이검사,L260130-13,
2026-01-30,ITALY,ICK-D,이태리다크,외관불량,1,0.1,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,등급변경,박검사,L260130-14,
2026-01-30,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 계량 오차,계량기 재보정,등급변경,이검사,L260130-15,
2026-01-30,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,재작업,박검사,L260130-16,
2026-01-30,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,재작업,김품질,L260130-17,
2026-01-30,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,이검사,L260130-18,
2026-01-30,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,재작업,최검사,L260130-19,
2026-01-30,ITALY,ICK-O,이태리오리지널,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,폐기,김품질,L260130-20,
2026-01-30,ITALY,ICK-O,이태리오리지널,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,박검사,L260130-21,
2026-01-31,DUBAI,DCK-C,두바이코코아,성형불량,8,0.9,성형 틀 마모,성형 틀 교체,재작업,최검사,L260131-01,
2026-01-31,DUBAI,DCK-C,두바이코코아,외관불량,5,0.5,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,박검사,L260131-02,
2026-01-31,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 온도 부적절,필링 보온 온도 재설정,폐기,최검사,L260131-03,
2026-01-31,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,카다이프 투입량 부족,원료 계량 강화,등급변경,박검사,L260131-04,
2026-01-31,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,재작업,이검사,L260131-05,
2026-01-31,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,재작업,최검사,L260131-06,
2026-01-31,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),폐기,김품질,L260131-07,
2026-01-31,DUBAI,DCK-M,두바이말차,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,등급변경,이검사,L260131-08,
2026-01-31,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,폐기,김품질,L260131-09,
2026-01-31,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,재작업,이검사,L260131-10,
2026-01-31,ITALY,ICK-D,이태리다크,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,재작업,박검사,L260131-11,
2026-01-31,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,재작업,김품질,L260131-12,
2026-01-31,ITALY,ICK-D,이태리다크,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,재작업,박검사,L260131-13,
2026-01-31,ITALY,ICK-D,이태리다크,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,등급변경,최검사,L260131-14,
2026-01-31,ITALY,ICK-O,이태리오리지널,성형불량,4,0.4,성형 틀 마모,성형 틀 교체,등급변경,최검사,L260131-15,
2026-01-31,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,재작업,박검사,L260131-16,
2026-01-31,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,등급변경,최검사,L260131-17,
2026-01-31,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,재작업,박검사,L260131-18,
2026-01-31,ITALY,ICK-O,이태리오리지널,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,재작업,이검사,L260131-19,
2026-01-31,ITALY,ICK-O,이태리오리지널,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,폐기,이검사,L260131-20,
2026-02-03,DUBAI,DCK-C,두바이코코아,성형불량,11,1.2,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,폐기,김품질,L260203-01,
2026-02-03,DUBAI,DCK-C,두바이코코아,외관불량,8,0.8,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,폐기,최검사,L260203-02,
2026-02-03,DUBAI,DCK-C,두바이코코아,필링불량,4,0.4,필링 계량 오차,계량기 재보정,폐기,김품질,L260203-03,
2026-02-03,DUBAI,DCK-C,두바이코코아,중량미달,3,0.3,반죽 분할 오차,분할기 재보정,등급변경,이검사,L260203-04,
2026-02-03,DUBAI,DCK-C,두바이코코아,원료이물,2,0.2,견과류 껍질 혼입,원료 선별 강화,폐기,최검사,L260203-05,
2026-02-03,DUBAI,DCK-C,두바이코코아,포장불량,2,0.2,포장기 정렬 오류,포장기 재정렬,재작업,김품질,L260203-06,
2026-02-03,DUBAI,DCK-M,두바이말차,성형불량,4,0.4,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,박검사,L260203-07,
2026-02-03,DUBAI,DCK-M,두바이말차,외관불량,3,0.3,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,김품질,L260203-08,
2026-02-03,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,등급변경,박검사,L260203-09,
2026-02-03,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,최검사,L260203-10,
2026-02-03,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,등급변경,김품질,L260203-11,
2026-02-03,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,박검사,L260203-12,
2026-02-03,ITALY,ICK-D,이태리다크,성형불량,5,0.6,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,이검사,L260203-13,
2026-02-03,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,등급변경,박검사,L260203-14,
2026-02-03,ITALY,ICK-D,이태리다크,필링불량,2,0.2,필링 계량 오차,계량기 재보정,등급변경,최검사,L260203-15,
2026-02-03,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,김품질,L260203-16,
2026-02-03,ITALY,ICK-O,이태리오리지널,성형불량,5,0.6,반죽 경화 (작업 지연으로 식음),반죽 재제조 (온도 관리 강화),등급변경,김품질,L260203-17,
2026-02-03,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,최검사,L260203-18,
2026-02-03,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,등급변경,김품질,L260203-19,
2026-02-03,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,필링 부족,필링 투입량 재설정,폐기,이검사,L260203-20,
2026-02-03,ITALY,ICK-O,이태리오리지널,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,최검사,L260203-21,
2026-02-03,ITALY,ICK-O,이태리오리지널,포장불량,1,0.1,실링 불량,실링기 점검,폐기,김품질,L260203-22,
2026-02-04,DUBAI,DCK-C,두바이코코아,성형불량,11,1.2,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,김품질,L260204-01,
2026-02-04,DUBAI,DCK-C,두바이코코아,외관불량,6,0.6,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,최검사,L260204-02,
2026-02-04,DUBAI,DCK-C,두바이코코아,필링불량,4,0.4,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,박검사,L260204-03,
2026-02-04,DUBAI,DCK-C,두바이코코아,중량미달,3,0.3,필링 부족,필링 투입량 재설정,등급변경,이검사,L260204-04,
2026-02-04,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,등급변경,최검사,L260204-05,
2026-02-04,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,폐기,김품질,L260204-06,
2026-02-04,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,박검사,L260204-07,
2026-02-04,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,표면 크랙,냉각 속도 조정,폐기,김품질,L260204-08,
2026-02-04,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,폐기,이검사,L260204-09,
2026-02-04,DUBAI,DCK-M,두바이말차,중량미달,2,0.2,반죽 분할 오차,분할기 재보정,재작업,최검사,L260204-10,
2026-02-04,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,등급변경,김품질,L260204-11,
2026-02-04,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,실링 불량,실링기 점검,폐기,박검사,L260204-12,
2026-02-04,ITALY,ICK-D,이태리다크,성형불량,4,0.5,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,이검사,L260204-13,
2026-02-04,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,재작업,박검사,L260204-14,
2026-02-04,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 계량 오차,계량기 재보정,재작업,최검사,L260204-15,
2026-02-04,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,폐기,박검사,L260204-16,
2026-02-04,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,반죽 경화 (작업 지연으로 식음),반죽 재제조 (온도 관리 강화),등급변경,김품질,L260204-17,
2026-02-04,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,재작업,최검사,L260204-18,
